scientificName	taxonRank	scientificNameAuthorship	parentNameUsage	acceptedNameUsage	nomenclaturalStatus
Aquifoliales	order	Senft	campanulids		
Aquifoliaceae	family	Bercht. & J.Presl	Aquifoliales		nom. cons.
Cardiopteridaceae	family	Blume	Aquifoliales		nom. cons.
Helwingiaceae	family	Decne.	Aquifoliales		
Phyllonomaceae	family	Small	Aquifoliales		
Stemonuraceae	family	Kårehed	Aquifoliales		
Asterales	order	Link	campanulids		
Alseuosmiaceae	family	Airy Shaw	Asterales		
Argophyllaceae	family	Takht.	Asterales		
Asteraceae	family	Bercht. & J.Presl	Asterales		nom. cons.
Compositae	family	Giseke	Asterales		nom. cons.
Calyceraceae	family	R.Br. ex Rich.	Asterales		nom. cons.
Campanulaceae	family	Juss.	Asterales		nom. cons.
Goodeniaceae	family	R.Br.	Asterales		nom. cons.
Menyanthaceae	family	Dumort.	Asterales		nom. cons.
Pentaphragmataceae	family	J.Agardh	Asterales		nom. cons.
Phellinaceae	family	Takht.	Asterales		
Rousseaceae	family	DC.	Asterales		
Stylidiaceae	family	R.Br.	Asterales		nom. cons.
Escalloniales	order	Link	campanulids		
Escalloniaceae	family	R.Br. ex Dumort.	Escalloniales		nom. cons.
Bruniales	order	Dumort. 	campanulids		
Bruniaceae	family	R.Br. ex DC.	Bruniales		nom. cons.
Columelliaceae	family	D.Don	Bruniales		nom. cons.
Paracryphiales	order	Takht. ex Reveal	campanulids		
Paracryphiaceae	family	Airy Shaw 	Paracryphiales		
Dipsacales	order	Juss. ex Bercht. & J.Presl	campanulids		
Adoxaceae	family	E.Mey.	Dipsacales		nom. cons.
Caprifoliaceae	family	Juss.	Dipsacales		nom. cons.
Apiales	order	Nakai	campanulids		
Apiaceae	family	Lindl.	Apiales		nom. cons.
Umbelliferae	family	Juss.		Apiaceae	nom. cons.
Araliaceae	family	Juss.	Apiales		nom. cons.
Griseliniaceae	family	Takht.	Apiales		nom. cons. prop.
Myodocarpaceae	family	Doweld	Apiales		
Pennantiaceae	family	J.Agardh	Apiales		
Pittosporaceae	family	R.Br.	Apiales		nom. cons.
Torricelliaceae	family	Hu	Apiales		
