scientificName	taxonRank	scientificNameAuthorship	parentNameUsage	acceptedNameUsage	nomenclaturalStatus
Cannabaceae	family	Martinov	Rosales		nom. cons.
Dirachmaceae	family	Hutch.	Rosales		
Elaeagnaceae	family	Juss.	Rosales		nom. cons.
Moraceae	family	Gaudich.	Rosales		nom. cons.
Rhamnaceae	family	Juss.	Rosales		nom. cons.
Rosaceae	family	Juss.	Rosales		nom. cons.
Ulmaceae	family	Mirb.	Rosales		nom. cons.
Urticaceae	family	Juss.	Rosales		nom. cons.
Fagales	order	Engl.	fabids		
Betulaceae	family	Gray	Fagales		nom. cons.
Casuarinaceae	family	R.Br.	Fagales		nom. cons.
Fagaceae	family	Dumort.	Fagales		nom. cons.
Juglandaceae	family	DC. ex Perleb	Fagales		nom. cons.
Myricaceae	family	Rich. ex Kunth	Fagales		nom. cons.
Nothofagaceae	family	Kuprian.	Fagales		
Ticodendraceae	family	Gómez-Laur. & L.D.Gómez	Fagales		
Cucurbitales	order	Juss. ex Bercht. & J.Presl	fabids		
Anisophylleaceae	family	Ridl.	Cucurbitales		
Apodanthaceae	family	Tiegh. ex Takht.	Cucurbitales		
Begoniaceae	family	C.Agardh	Cucurbitales		nom. cons.
Coriariaceae	family	DC.	Cucurbitales		nom. cons.
Corynocarpaceae	family	Engl.	Cucurbitales		nom. cons.
Cucurbitaceae	family	Juss.	Cucurbitales		nom. cons.
Datiscaceae	family	Dumort.	Cucurbitales		nom. cons.
Tetramelaceae	family	Airy Shaw	Cucurbitales		
malvids	clade		rosids		
Geraniales	order	Juss. ex Bercht. & J.Presl	malvids		
Francoaceae	family	A.Juss.	Geraniales		nom. cons.
Bersamaceae	family	Doweld		Francoaceae	
Greyiaceae	family	Hutch.		Francoaceae	nom. cons.
Ledocarpaceae	family	Meyen		Francoaceae	
Melianthaceae	family	Horan.		Francoaceae	nom. cons.
Rhynchothecaceae	family	A.Juss.		Francoaceae	
Vivianiaceae	family	Klotzsch		Francoaceae	nom. cons.
Geraniaceae	family	Juss.	Geraniales		nom. cons.
Myrtales	order	Juss. ex Bercht. & J.Presl	malvids		
Alzateaceae	family	S.A.Graham	Myrtales		
Combretaceae	family	R.Br.	Myrtales		nom. cons.
Crypteroniaceae	family	A.DC.	Myrtales		nom. cons.
Lythraceae	family	J.St.-Hil.	Myrtales		nom. cons.
Melastomataceae	family	Juss.	Myrtales		nom. cons.
Myrtaceae	family	Juss.	Myrtales		nom. cons.
Onagraceae	family	Juss.	Myrtales		nom. cons.
Penaeaceae	family	Sweet ex Guill.	Myrtales		nom. cons.
Vochysiaceae	family	A.St.-Hil.	Myrtales		nom. cons.
Crossosomatales	order	Takht. ex Reveal	malvids		
Aphloiaceae	family	Takht.	Crossosomatales		
Crossosomataceae	family	Engl.	Crossosomatales		nom. cons.
Geissolomataceae	family	A.DC.	Crossosomatales		nom. cons.
Guamatelaceae	family	S.H.Oh & D.Potter	Crossosomatales		
Stachyuraceae	family	J.Agardh	Crossosomatales		nom. cons.
Staphyleaceae	family	Martinov	Crossosomatales		nom. cons.
Strasburgeriaceae	family	Tiegh.	Crossosomatales		nom. cons.
Picramniales	order	Doweld	malvids		
Picramniaceae	family	Fernando & Quinn	Picramniales		
Huerteales	order	Doweld	malvids		
Dipentodontaceae	family	Merr.	Huerteales		nom. cons.
Gerrardinaceae	family	M.H.Alford	Huerteales		
Petenaeaceae	family	Christenh.,M.F.Fay & M.W.Chase	Huerteales		
Tapisciaceae	family	Takht.	Huerteales		
Sapindales	order	Juss. ex Bercht. & J. Presl	malvids		
Anacardiaceae	family	R.Br.	Sapindales		nom. cons.
Biebersteiniaceae	family	Schnizl.	Sapindales		
Burseraceae	family	Kunth	Sapindales		nom. cons.
Kirkiaceae	family	Takht.	Sapindales		
Meliaceae	family	Juss.	Sapindales		nom. cons.
Nitrariaceae	family	Lindl. 	Sapindales		
Rutaceae	family	Juss.	Sapindales		nom. cons.
Sapindaceae	family	Juss.	Sapindales		nom. cons.
Xanthocerataceae	family	Buerki, Callm. & Lowry		Sapindaceae	
Simaroubaceae	family	DC.	Sapindales		nom. cons.
Malvales	order	Juss. ex Bercht. & J.Presl	malvids		
Bixaceae	family	Kunth	Malvales		nom. cons.
Cistaceae	family	Juss.	Malvales		nom. cons.
Cytinaceae	family	A.Rich.	Malvales		
Dipterocarpaceae	family	Blume	Malvales		nom. cons.
Malvaceae	family	Juss.	Malvales		nom. cons.
Muntingiaceae	family	C.Bayer, M.W.Chase & M.F.Fay	Malvales		
Neuradaceae	family	Kostel.	Malvales		nom. cons.
Sarcolaenaceae	family	Caruel	Malvales		nom. cons.
Sphaerosepalaceae	family	Tiegh. ex Bullock 	Malvales		
Thymelaeaceae	family	Juss.	Malvales		nom. cons.
Brassicales	order	Bromhead	malvids		
Akaniaceae	family	Stapf	Brassicales		nom. cons.
Bataceae	family	Mart. ex Perleb	Brassicales		nom. cons.
Brassicaceae	family	Burnett	Brassicales		nom. cons.
Cruciferae	family	Juss.		Brassicaceae	nom. cons.
Capparaceae	family	Juss.	Brassicales		nom. cons.
Caricaceae	family	Dumort.	Brassicales		nom. cons.
Cleomaceae	family	Bercht. & J.Presl	Brassicales		
Emblingiaceae	family	Airy Shaw	Brassicales		
Gyrostemonaceae	family	A.Juss.	Brassicales		nom. cons.
Koeberliniaceae	family	Engl.	Brassicales		nom. cons.
Limnanthaceae	family	R.Br.	Brassicales		nom. cons.
Moringaceae	family	Martinov	Brassicales		nom. cons.
Pentadiplandraceae	family	Hutch. & Dalziel	Brassicales		
Resedaceae	family	Martinov	Brassicales		nom. cons.
Borthwickiaceae	family	J.X.Su, Wei Wang, Li Bing Zhang & Z.D.Chen		Resedaceae	
Stixidaceae	family	Doweld		Resedaceae	
Salvadoraceae	family	Lindl.	Brassicales		nom. cons.
Setchellanthaceae	family	Iltis	Brassicales		
Tovariaceae	family	Pax	Brassicales		nom. cons.
Tropaeolaceae	family	Juss. ex DC.	Brassicales		nom. cons.
superasterids	clade		eudicots		
Berberidopsidales	order	Doweld	superasterids		
Aextoxicaceae	family	Engl. & Gilg	Berberidopsidales		nom. cons.
Berberidopsidaceae	family	Takht.	Berberidopsidales		
Santalales	order	R.Br. ex Bercht. & J.Presl	superasterids		
Balanophoraceae	family	Rich.	Santalales		nom. cons.
Loranthaceae	family	Juss.	Santalales		nom. cons.
Misodendraceae	family	J.Agardh	Santalales		nom. cons.
Olacaceae	family	R.Br.	Santalales		nom. cons.
Opiliaceae	family	Valeton	Santalales		nom. cons.
Santalaceae	family	R.Br.	Santalales		nom. cons.
Amphorogynaceae	family	Nickrent & Der		Santalaceae	
Cervantesiaceae	family	Nickrent & Der		Santalaceae	
Comandraceae	family	Nickrent & Der		Santalaceae	
Nanodeaceae	family	Nickrent & Der		Santalaceae	
Schoepfiaceae	family	Blume	Santalales		
Caryophyllales	order	Juss. ex Bercht. & J.Presl	superasterids		
Achatocarpaceae	family	Heimerl	Caryophyllales		nom. cons.
Aizoaceae	family	Martinov	Caryophyllales		nom. cons.
Amaranthaceae	family	Juss.	Caryophyllales		nom. cons.
Anacampserotaceae	family	Eggli & Nyffeler	Caryophyllales		
Ancistrocladaceae	family	Planch. ex Walp.	Caryophyllales		nom. cons.
Asteropeiaceae	family	Takht. ex Reveal & Hoogland	Caryophyllales		
Barbeuiaceae	family	Nakai	Caryophyllales		
Basellaceae	family	Raf.	Caryophyllales		nom. cons.
Cactaceae	family	Juss.	Caryophyllales		nom. cons.
Caryophyllaceae	family	Juss.	Caryophyllales		nom. cons.
Didiereaceae	family	Radlk.	Caryophyllales		nom. cons.
Dioncophyllaceae	family	Airy Shaw	Caryophyllales		nom. cons.
Droseraceae	family	Salisb.	Caryophyllales		nom. cons.
Drosophyllaceae	family	Chrtek, Slavíková & Studnička	Caryophyllales		
Frankeniaceae	family	Desv.	Caryophyllales		nom. cons.
Gisekiaceae	family	Nakai	Caryophyllales		
Halophytaceae	family	S.Soriano	Caryophyllales		
